feature_group,n_features,app_accuracy,model_accuracy
gradient_only,3,0.7901234567901234,0.4567901234567901
all_combined,13,0.7283950617283951,0.5432098765432098
fft_only,2,0.6790123456790124,0.5185185185185185
laplacian_only,3,0.6296296296296297,0.43209876543209874
residual_only,3,0.6172839506172839,0.4691358024691358
