feature,importance
fft_mean,0.14467581315706707
lap_std,0.11583353691114037
fft_std,0.10131525754128332
grad_mean,0.09773225512101308
res_std,0.09144335932075061
lap_kurtosis,0.07362416307775604
grad_max,0.06792911218416287
res_kurtosis,0.06411588499013847
gray_std,0.060301206305913624
grad_std,0.05142460954667513
gray_mean,0.05069454058674831
lap_mean,0.04095897816895536
res_mean,0.03995128308839568
